high threshold,low threshold,cause 1,cause 2,cause 3
1.6,-2.5,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-2.0,PtdChos with prob 0.11647727272727272,Sauce 2 with prob 0.08747044917257683,Diglycerol with prob 0.07236842105263158
1.6,-1.5,PtdChos with prob 0.11742424242424243,Sauce 2 with prob 0.08825847123719464,Diglycerol with prob 0.07236842105263158
1.6,-1.0,PtdChos with prob 0.11837121212121213,Sauce 2 with prob 0.09141055949566587,Diglycerol with prob 0.07236842105263158
1.6,-0.5,PtdChos with prob 0.12310606060606061,Sauce 2 with prob 0.09219858156028368,Diglycerol with prob 0.07631578947368421
1.6,0.0,PtdChos with prob 0.9772727272727273,B-complex with prob 0.9741379310344828,IMP with prob 0.9726666666666667
2.1,-10.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.05358550039401103,Diglycerol with prob 0.042105263157894736
2.1,-9.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.05358550039401103,Diglycerol with prob 0.042105263157894736
2.1,-9.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.05358550039401103,Diglycerol with prob 0.042105263157894736
2.1,-8.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.05358550039401103,Diglycerol with prob 0.042105263157894736
2.1,-8.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.05358550039401103,Diglycerol with prob 0.042105263157894736
2.1,-7.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.05358550039401103,Diglycerol with prob 0.042105263157894736
2.1,-7.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-6.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-6.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-5.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-5.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-4.5,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
2.1,-4.0,PtdChos with prob 0.08143939393939394,Sauce 2 with prob 0.054373522458628844,Diglycerol with prob 0.042105263157894736
